ID,INCOME,APPLIEDONLINE,RESIDENCE,YRS_AT_CURRENT_ADDRESS,YRS_WITH_CURRENT_EMPLOYER,NUMBER_OF_CARDS,CREDIT_DEBT,LOANS,LOAN_AMOUNT
1000,2761,YES,Private Renting,49,3,2,8165,3,84425
1001,2402,0,Public Housing,12,6,5,16914,0,94968
1002,2355,1,Public Housing,44,5,6,23636,0,54703
1003,3273,Y,Private Renting,20,9,5,6647,1,71514
1004,2697,0,Living with parents,57,3,4,14740,2,44366
1005,3190,True,Public Housing,50,4,5,10959,0,15747
1006,3228,True,Public Housing,31,2,5,845,2,41236
1007,2678,0,Owner Occupier,63,3,7,7713,0,8644
1008,2604,NO,Private Renting,30,1,10,12272,0,11282
1009,2706,Y,Public Housing,79,3,8,9589,3,87664
1010,2359,False,Private Renting,12,1,5,19316,2,60895
1011,2728,False,Private Renting,11,1,6,19607,2,48087
1012,2372,N,Owner Occupier,72,2,3,23548,2,65385
1013,2385,False,Private Renting,45,8,2,23023,0,63372
1014,3086,True,Private Renting,28,9,8,18581,1,25673
1015,3244,NO,Owner Occupier,56,5,1,6745,1,34854
1016,3230,N,Living with parents,14,5,3,6126,1,95167
1017,3192,N,Private Renting,61,3,7,14644,0,45444
1018,2940,NO,Owner Occupier,69,3,4,903,0,70017
1019,2477,1,Private Renting,45,2,3,25576,2,31587
1020,2336,NO,Owner Occupier,56,7,8,17783,2,96282
1021,2482,NO,Private Renting,31,4,10,23991,2,31203
1022,2957,NO,Owner Occupier,58,1,7,22555,3,52850
1023,2990,0,Owner Occupier,3,4,4,6414,0,82266
1024,3183,False,Living with parents,12,8,7,9359,1,77797
1025,3109,1,Public Housing,22,9,7,6147,2,7354
1026,2890,N,Private Renting,8,4,9,20778,2,45513
1027,3283,True,Living with parents,4,10,8,25663,0,90777
1028,3183,False,Living with parents,68,9,1,26703,1,56626
1029,2529,NO,Owner Occupier,24,3,9,13363,0,34061
1030,2947,N,Public Housing,80,10,9,14117,1,78706
1031,2879,True,Living with parents,22,6,4,21748,0,46178
